X,Y,Z
-4.46,12.51,"2.69
"
-11.66,5.92,"-1.04
"
-11.72,0,"0.98
"
1.28,-2.62,"8.12
"
11.29,-0.79,"16.17
"
12.51,4.7,"21.36
"
6.59,10.56,"22.28
"
-0.61,14.1,"21.42
"
-4.52,18.92,"22.71
"
-4.64,28.26,"26.06
"
-4.39,34.79,"28.32
"
9.95,39.67,"27.95
"
14.65,39.67,"24.90
"
17.52,35.28,"21.06
"
19.04,28.75,"19.78
"
16.36,20.81,"21.12
"
19.71,15.32,"24.48
"
23.68,12.7,"28.75
"
21.61,13.67,"33.51
"
18.68,15.14,"37.78
"
25.02,15.81,"40.34
"
26.31,16.97,"41.99
"
22.83,16.91,"42.91
"
24.78,13.85,"43.70
"
29.85,11.96,"45.29
"
36.68,15.93,"44.74
"
44.74,23.07,"31.74
"
39.67,24.66,"19.41
"
33.63,19.17,"9.28
"
22.89,9.64,"1.40
"
23.56,12.94,"-0.06
"
16.11,23.5,"2.38
"
10.8,29.42,"5.80
"
5.98,32.84,"11.72
"
-0.55,36.07,"21.12
"
2.75,40.89,"31.31
"
4.76,47.12,"36.50
"
11.05,48.83,"38.82
"
17.33,41.2,"37.48
"
13.98,27.1,"30.52
"
10.5,10.13,"20.69
"
11.6,-5.43,"12.33
"
15.87,-13.06,"9.46
"
23.25,-11.11,"12.39
"
30.52,-10.62,"17.94
"
23.38,-26.12,"20.08
"
10.31,-29.05,"16.60
"
2.01,4.39,"22.77
"
18.49,39.55,"33.69
"
30.58,62.93,"37.84
"
21.48,73.61,"41.32
"
34.61,74.34,"38.45
"
23.8,65.12,"29.97
"
10.56,48.1,"21.00
"
22.34,27.65,"9.83
"
29.6,8,"4.21
"
35.16,-8.48,"3.30
"
35.58,-17.7,"-4.21
"
12.63,-22.52,"-10.68
"
-14.28,-25.15,"-16.24
"
-35.58,-25.15,"-19.17
"
-27.16,-24.41,"-15.50
"
-2.01,-27.4,"-5.31
"
19.23,-30.88,"7.39
"
32.53,-33.51,"18.37
"
49.99,-35.4,"34.73
"
73.18,-36.01,"55.79
"
84.66,-38.39,"74.28
"
96.01,-39.43,"87.77
"
106.32,-37.66,"98.88
"
122.68,-34.91,"106.20
"
133.42,-33.75,"109.56
"
134.89,-34.91,"109.31
"
135.8,-38.7,"106.51
"
131.65,-46.26,"97.11
"
130.98,-57.5,"78.12
"
124.94,-23.86,"98.21
"
122.74,17.21,"150.82
"
212.77,37.9,"198.36
"
261.84,41.44,"232.24
"
283.94,29.05,"252.69
"
260.86,14.16,"259.70
"
175.72,7.08,"247.80
"
113.71,-14.16,"217.04
"
104.25,-49.19,"155.33
"
111.33,-71.9,"88.32
"
85.82,-95.95,"47.49
"
34.48,-120.61,"20.57
"
-12.27,-138.61,"4.64
"
-48.1,-129.33,"0.43
"
-26.06,-86.79,"0.43
"
3.6,-41.2,"-0.37
"
2.26,-16.85,"-5.13
"
-38.33,-3.48,"-14.71
"
-82.4,9.83,"-29.24
"
-148.32,17.09,"-55.79
"
-174.19,17.33,"-75.62
"
-164.98,12.63,"-84.11
"
-180.42,10.68,"-85.27
"
-176.94,14.34,"-78.67
"
-153.87,23.01,"-64.33
"
-86.73,18.25,"-38.88
"
-24.11,10.86,"-10.19
"
16.3,13.49,"11.54
"
48.89,17.03,"24.29
"
61.89,9.64,"28.20
"
38.27,-13.37,"21.67
"
8.12,-43.4,"12.88
"
-1.95,-71.96,"8.73
"
2.38,-91.98,"-1.04
"
-9.52,-113.16,"-26.00
"
-21.3,-136.41,"-59.33
"
-31.07,-142.09,"-84.05
"
-56.15,-126.83,"-97.84
"
-69.27,-104.61,"-110.47
"
-59.33,-71.35,"-117.98
"
-37.23,-17.82,"-117.19
"
-35.28,29.97,"-122.74
"
-51.82,55.91,"-126.10
"
-51.82,83.56,"-98.51
"
-22.64,128.36,"-44.31
"
-19.53,124.21,"-5.19
"
0,60.91,"20.57
"
17.4,17.76,"34.36
"
5.74,-13,"38.39
"
-2.75,-49.93,"41.69
"
45.65,-76.72,"35.52
"
62.07,-62.44,"21.00
"
20.14,-18.01,"5.55
"
-14.89,12.63,"-5.62
"
-17.64,9.03,"-14.77
"
-11.96,-18.8,"-28.08
"
5.49,-43.4,"-51.15
"
22.64,-57.56,"-83.80
"
-7.02,-62.19,"-101.01
"
-10.68,-52,"-105.65
"
-1.83,-37.23,"-108.03
"
-2.14,-30.09,"-113.34
"
