X,Y,Z
3.11,2.2,"-1.40
"
4.33,1.22,"-0.73
"
5.13,0.43,"-0.06
"
5.13,-0.49,"0.31
"
5.31,-1.95,"0.18
"
5.49,-3.11,"0.12
"
5.43,-3.05,"0.43
"
6.16,-1.83,"1.16
"
6.65,-0.31,"1.65
"
7.14,0.98,"1.95
"
7.39,1.59,"1.83
"
6.9,0.92,"1.16
"
7.2,-0.18,"0.31
"
6.77,-1.77,"-0.31
"
6.96,-3.66,"0.00
"
7.26,-5,"0.98
"
9.09,-4.27,"2.87
"
9.09,-2.56,"5.55
"
9.89,-0.24,"8.30
"
10.74,1.4,"11.11
"
11.47,1.95,"13.67
"
12.15,2.38,"15.87
"
13.06,2.01,"17.27
"
13.79,1.59,"17.46
"
13.37,0.85,"16.85
"
12.76,0.31,"15.50
"
11.11,-0.43,"13.49
"
9.83,-1.1,"11.47
"
9.16,-1.04,"9.83
"
8.3,-0.12,"8.36
"
7.39,1.28,"7.20
"
7.14,2.01,"6.41
"
7.14,1.65,"5.68
"
6.71,0.98,"5.19
"
6.29,-0.24,"4.39
"
6.29,-1.34,"3.72
"
6.53,-2.26,"3.17
"
7.02,-2.38,"2.93
"
7.02,-1.71,"2.62
"
6.1,-0.79,"1.89
"
4.39,-0.49,"1.10
"
3.91,-1.16,"0.79
"
3.78,-2.69,"0.92
"
3.6,-4.64,"1.22
"
5.62,-4.7,"2.44
"
6.16,-2.38,"3.66
"
6.16,0.37,"3.91
"
6.23,1.28,"3.42
"
4.82,-1.16,"1.65
"
-1.04,-5.31,"-1.40
"
-2.5,-7.2,"-3.05
"
0.18,-6.59,"-2.50
"
5.19,-5.31,"0.00
"
13.98,-6.16,"2.50
"
15.99,-11.54,"3.05
"
12.63,-19.71,"1.16
"
17.09,-24.48,"-3.66
"
17.82,-23.68,"-10.99
"
3.91,-12.21,"-6.59
"
10.68,-0.49,"2.75
"
13.49,3.11,"5.19
"
10.19,2.62,"1.28
"
8.18,0,"-2.08
"
5.07,-3.97,"-1.65
"
5.37,-7.69,"-0.12
"
7.39,-10.93,"-0.18
"
7.81,-11.41,"0.98
"
9.22,-8.61,"4.88
"
9.64,-5.37,"8.06
"
7.75,-4.82,"8.24
"
5.49,-6.84,"7.32
"
5.19,-8.18,"6.96
"
6.29,-7.93,"6.23
"
4.03,-6.35,"5.49
"
3.23,-3.66,"5.55
"
6.1,-3.85,"4.88
"
7.51,-7.02,"3.60
"
7.14,-10.8,"0.98
"
7.26,-12.02,"-1.04
"
9.77,-10.68,"-0.98
"
11.23,-8.06,"-0.55
"
11.41,-6.71,"-0.31
"
9.83,-6.35,"0.98
"
9.89,-6.77,"2.93
"
12.08,-7.02,"5.55
"
14.1,-6.16,"8.24
"
12.15,-1.89,"9.95
"
10.5,5.37,"10.68
"
10.44,11.11,"10.80
"
10.74,11.96,"10.25
"
13.06,8.12,"8.79
"
14.59,1.95,"7.14
"
16.72,-2.93,"6.29
"
20.26,-5.98,"6.41
"
23.19,-7.75,"6.29
"
24.05,-8.97,"5.43
"
22.16,-8.54,"3.36
"
18.25,-5.68,"0.98
"
13,-2.44,"-0.79
"
9.46,0.24,"-1.04
"
8.24,1.89,"0.79
"
8.18,1.4,"3.97
"
10.99,-1.34,"7.87
"
14.71,-6.23,"11.23
"
17.15,-10.56,"13.43
"
17.82,-12.27,"13.92
"
15.38,-11.78,"13.24
"
13,-9.03,"11.60
"
10.8,-5.13,"9.46
"
8.24,-2.81,"6.71
"
4.76,-1.34,"2.87
"
-0.55,0.49,"-0.18
"
1.28,1.77,"-1.46
"
3.54,-0.79,"-1.34
"
6.16,-7.39,"-1.28
"
7.63,-15.44,"-0.92
"
7.93,-21.55,"0.85
"
8.36,-22.34,"2.93
"
6.47,-16.66,"5.55
"
4.21,-8.24,"8.91
"
2.93,-1.53,"12.39
"
2.99,1.04,"15.20
"
3.85,0,"17.33
"
1.65,-1.34,"18.31
"
-0.24,0.18,"19.17
"
2.56,3.11,"20.39
"
